location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
Burkina Faso,3,Full Range,2010,2023,-2.88,-2.92,-2.85,1,-152.782,0,***,"2010~2023
-2.88(-2.92~-2.85)***",2010~2023,-2.88 (-2.92~-2.85),Prevalence,Rate
Burundi,2,Full Range,2010,2023,-1.82,-1.85,-1.8,1,-165.043,0,***,"2010~2023
-1.82(-1.85~-1.80)***",2010~2023,-1.82 (-1.85~-1.80),Prevalence,Rate
Cabo Verde,2,Full Range,2010,2023,-3.77,-3.82,-3.71,1,-132.481,0,***,"2010~2023
-3.77(-3.82~-3.71)***",2010~2023,-3.77 (-3.82~-3.71),Prevalence,Rate
Cambodia,2,Full Range,2010,2023,-1.59,-1.63,-1.55,1,-74.372,0,***,"2010~2023
-1.59(-1.63~-1.55)***",2010~2023,-1.59 (-1.63~-1.55),Prevalence,Rate
Cameroon,2,Full Range,2010,2023,-3.78,-3.82,-3.73,1,-162.566,0,***,"2010~2023
-3.78(-3.82~-3.73)***",2010~2023,-3.78 (-3.82~-3.73),Prevalence,Rate
Canada,2,Full Range,2010,2023,-0.07,-0.09,-0.06,1,-7.964,0,***,"2010~2023
-0.07(-0.09~-0.06)***",2010~2023,-0.07 (-0.09~-0.06),Prevalence,Rate
Central African Republic,1,Full Range,2010,2023,-1.22,-1.36,-1.08,1,-16.955,0,***,"2010~2023
-1.22(-1.36~-1.08)***",2010~2023,-1.22 (-1.36~-1.08),Prevalence,Rate
Chad,3,Full Range,2010,2023,-3.06,-3.13,-3,1,-91.091,0,***,"2010~2023
-3.06(-3.13~-3.00)***",2010~2023,-3.06 (-3.13~-3.00),Prevalence,Rate
Chile,1,Full Range,2010,2023,-2.19,-2.22,-2.16,1,-157.512,0,***,"2010~2023
-2.19(-2.22~-2.16)***",2010~2023,-2.19 (-2.22~-2.16),Prevalence,Rate
China,1,Full Range,2010,2023,-0.03,-0.04,-0.01,1,-4.471,0,***,"2010~2023
-0.03(-0.04~-0.01)***",2010~2023,-0.03 (-0.04~-0.01),Prevalence,Rate
Colombia,0,Full Range,2010,2023,-2.89,-2.95,-2.84,1,-113.91,0,***,"2010~2023
-2.89(-2.95~-2.84)***",2010~2023,-2.89 (-2.95~-2.84),Prevalence,Rate
Comoros,1,Full Range,2010,2023,-1.9,-1.99,-1.8,1,-40.084,0,***,"2010~2023
-1.90(-1.99~-1.80)***",2010~2023,-1.90 (-1.99~-1.80),Prevalence,Rate
Congo,1,Full Range,2010,2023,-2.4,-2.62,-2.19,1,-21.458,0,***,"2010~2023
-2.40(-2.62~-2.19)***",2010~2023,-2.40 (-2.62~-2.19),Prevalence,Rate
Cook Islands,3,Full Range,2010,2023,-1.01,-1.02,-0.99,1,-105.035,0,***,"2010~2023
-1.01(-1.02~-0.99)***",2010~2023,-1.01 (-1.02~-0.99),Prevalence,Rate
Costa Rica,1,Full Range,2010,2023,-2.53,-2.63,-2.44,1,-52.071,0,***,"2010~2023
-2.53(-2.63~-2.44)***",2010~2023,-2.53 (-2.63~-2.44),Prevalence,Rate
Croatia,1,Full Range,2010,2023,-2.58,-2.66,-2.49,1,-60.809,0,***,"2010~2023
-2.58(-2.66~-2.49)***",2010~2023,-2.58 (-2.66~-2.49),Prevalence,Rate
Cuba,1,Full Range,2010,2023,-2.35,-2.39,-2.31,1,-120.829,0,***,"2010~2023
-2.35(-2.39~-2.31)***",2010~2023,-2.35 (-2.39~-2.31),Prevalence,Rate
Cyprus,3,Full Range,2010,2023,-2.21,-2.23,-2.2,1,-247.298,0,***,"2010~2023
-2.21(-2.23~-2.20)***",2010~2023,-2.21 (-2.23~-2.20),Prevalence,Rate
Czechia,1,Full Range,2010,2023,-2.14,-2.21,-2.06,1,-56.922,0,***,"2010~2023
-2.14(-2.21~-2.06)***",2010~2023,-2.14 (-2.21~-2.06),Prevalence,Rate
Côte d'Ivoire,2,Full Range,2010,2023,-3.68,-3.74,-3.62,1,-116.689,0,***,"2010~2023
-3.68(-3.74~-3.62)***",2010~2023,-3.68 (-3.74~-3.62),Prevalence,Rate
Democratic People's Republic of Korea,2,Full Range,2010,2023,-1.7,-1.72,-1.68,1,-158.031,0,***,"2010~2023
-1.70(-1.72~-1.68)***",2010~2023,-1.70 (-1.72~-1.68),Prevalence,Rate
Democratic Republic of the Congo,1,Full Range,2010,2023,-2.32,-2.48,-2.16,1,-27.406,0,***,"2010~2023
-2.32(-2.48~-2.16)***",2010~2023,-2.32 (-2.48~-2.16),Prevalence,Rate
Denmark,1,Full Range,2010,2023,-2.21,-2.26,-2.17,1,-93.029,0,***,"2010~2023
-2.21(-2.26~-2.17)***",2010~2023,-2.21 (-2.26~-2.17),Prevalence,Rate
Djibouti,3,Full Range,2010,2023,-3.72,-3.8,-3.65,1,-98.056,0,***,"2010~2023
-3.72(-3.80~-3.65)***",2010~2023,-3.72 (-3.80~-3.65),Prevalence,Rate
Dominica,3,Full Range,2010,2023,-1.85,-1.91,-1.8,1,-65.475,0,***,"2010~2023
-1.85(-1.91~-1.80)***",2010~2023,-1.85 (-1.91~-1.80),Prevalence,Rate
Dominican Republic,1,Full Range,2010,2023,-2.12,-2.17,-2.08,1,-91.088,0,***,"2010~2023
-2.12(-2.17~-2.08)***",2010~2023,-2.12 (-2.17~-2.08),Prevalence,Rate
Ecuador,1,Full Range,2010,2023,-2.83,-2.92,-2.74,1,-60.945,0,***,"2010~2023
-2.83(-2.92~-2.74)***",2010~2023,-2.83 (-2.92~-2.74),Prevalence,Rate
Egypt,2,Full Range,2010,2023,-1.78,-1.87,-1.7,1,-40.439,0,***,"2010~2023
-1.78(-1.87~-1.70)***",2010~2023,-1.78 (-1.87~-1.70),Prevalence,Rate
El Salvador,1,Full Range,2010,2023,-2.47,-2.58,-2.37,1,-44.862,0,***,"2010~2023
-2.47(-2.58~-2.37)***",2010~2023,-2.47 (-2.58~-2.37),Prevalence,Rate
Equatorial Guinea,1,Full Range,2010,2023,-2.59,-2.81,-2.38,1,-23.147,0,***,"2010~2023
-2.59(-2.81~-2.38)***",2010~2023,-2.59 (-2.81~-2.38),Prevalence,Rate
Eritrea,3,Full Range,2010,2023,-2.16,-2.19,-2.12,1,-121.085,0,***,"2010~2023
-2.16(-2.19~-2.12)***",2010~2023,-2.16 (-2.19~-2.12),Prevalence,Rate
Estonia,2,Full Range,2010,2023,-2.51,-2.65,-2.38,1,-35.724,0,***,"2010~2023
-2.51(-2.65~-2.38)***",2010~2023,-2.51 (-2.65~-2.38),Prevalence,Rate
Eswatini,1,Full Range,2010,2023,-2.77,-2.88,-2.65,1,-46.264,0,***,"2010~2023
-2.77(-2.88~-2.65)***",2010~2023,-2.77 (-2.88~-2.65),Prevalence,Rate
Ethiopia,1,Full Range,2010,2023,-0.54,-0.57,-0.5,1,-28.813,0,***,"2010~2023
-0.54(-0.57~-0.50)***",2010~2023,-0.54 (-0.57~-0.50),Prevalence,Rate
Fiji,2,Full Range,2010,2023,-0.65,-0.68,-0.61,1,-36.103,0,***,"2010~2023
-0.65(-0.68~-0.61)***",2010~2023,-0.65 (-0.68~-0.61),Prevalence,Rate
Finland,1,Full Range,2010,2023,-2.19,-2.24,-2.13,1,-79.214,0,***,"2010~2023
-2.19(-2.24~-2.13)***",2010~2023,-2.19 (-2.24~-2.13),Prevalence,Rate
France,3,Full Range,2010,2023,-2.31,-2.32,-2.29,1,-254.743,0,***,"2010~2023
-2.31(-2.32~-2.29)***",2010~2023,-2.31 (-2.32~-2.29),Prevalence,Rate
Gabon,1,Full Range,2010,2023,-2.78,-3.02,-2.53,1,-22.093,0,***,"2010~2023
-2.78(-3.02~-2.53)***",2010~2023,-2.78 (-3.02~-2.53),Prevalence,Rate
Gambia,1,Full Range,2010,2023,-3.51,-3.55,-3.47,1,-159.733,0,***,"2010~2023
-3.51(-3.55~-3.47)***",2010~2023,-3.51 (-3.55~-3.47),Prevalence,Rate
Georgia,1,Full Range,2010,2023,-2.31,-2.47,-2.14,1,-27.555,0,***,"2010~2023
-2.31(-2.47~-2.14)***",2010~2023,-2.31 (-2.47~-2.14),Prevalence,Rate
Germany,1,Full Range,2010,2023,-2.06,-2.09,-2.03,1,-123.824,0,***,"2010~2023
-2.06(-2.09~-2.03)***",2010~2023,-2.06 (-2.09~-2.03),Prevalence,Rate
Ghana,3,Full Range,2010,2023,-3.49,-3.56,-3.41,1,-87.321,0,***,"2010~2023
-3.49(-3.56~-3.41)***",2010~2023,-3.49 (-3.56~-3.41),Prevalence,Rate
Greece,1,Full Range,2010,2023,-1.68,-1.74,-1.62,1,-54.163,0,***,"2010~2023
-1.68(-1.74~-1.62)***",2010~2023,-1.68 (-1.74~-1.62),Prevalence,Rate
Greenland,2,Full Range,2010,2023,-0.75,-0.81,-0.69,1,-23.528,0,***,"2010~2023
-0.75(-0.81~-0.69)***",2010~2023,-0.75 (-0.81~-0.69),Prevalence,Rate
Grenada,1,Full Range,2010,2023,-2.39,-2.43,-2.34,1,-111.918,0,***,"2010~2023
-2.39(-2.43~-2.34)***",2010~2023,-2.39 (-2.43~-2.34),Prevalence,Rate
Guam,2,Full Range,2010,2023,-0.28,-0.32,-0.25,1,-15.196,0,***,"2010~2023
-0.28(-0.32~-0.25)***",2010~2023,-0.28 (-0.32~-0.25),Prevalence,Rate
Guatemala,2,Full Range,2010,2023,-2.2,-2.23,-2.16,1,-128.675,0,***,"2010~2023
-2.20(-2.23~-2.16)***",2010~2023,-2.20 (-2.23~-2.16),Prevalence,Rate
Guinea,2,Full Range,2010,2023,-3.24,-3.31,-3.17,1,-88.413,0,***,"2010~2023
-3.24(-3.31~-3.17)***",2010~2023,-3.24 (-3.31~-3.17),Prevalence,Rate
Guinea-Bissau,3,Full Range,2010,2023,-3.23,-3.27,-3.19,1,-152.609,0,***,"2010~2023
-3.23(-3.27~-3.19)***",2010~2023,-3.23 (-3.27~-3.19),Prevalence,Rate
Guyana,2,Full Range,2010,2023,-2.59,-2.66,-2.52,1,-68.929,0,***,"2010~2023
-2.59(-2.66~-2.52)***",2010~2023,-2.59 (-2.66~-2.52),Prevalence,Rate
Haiti,1,Full Range,2010,2023,-1.64,-1.66,-1.62,1,-167.932,0,***,"2010~2023
-1.64(-1.66~-1.62)***",2010~2023,-1.64 (-1.66~-1.62),Prevalence,Rate
Honduras,3,Full Range,2010,2023,-2.05,-2.09,-2.01,1,-98.194,0,***,"2010~2023
-2.05(-2.09~-2.01)***",2010~2023,-2.05 (-2.09~-2.01),Prevalence,Rate
Hungary,2,Full Range,2010,2023,-2.52,-2.57,-2.47,1,-90.86,0,***,"2010~2023
-2.52(-2.57~-2.47)***",2010~2023,-2.52 (-2.57~-2.47),Prevalence,Rate
Iceland,0,Full Range,2010,2023,-1.95,-1.97,-1.93,1,-215.122,0,***,"2010~2023
-1.95(-1.97~-1.93)***",2010~2023,-1.95 (-1.97~-1.93),Prevalence,Rate
India,2,Full Range,2010,2023,-0.12,-0.24,-0,1,-1.961,0.05,,"2010~2023
-0.12(-0.24~-0.00)",2010~2023,-0.12 (-0.24~-0.00),Prevalence,Rate
Indonesia,3,Full Range,2010,2023,-0.55,-0.56,-0.53,1,-77.316,0,***,"2010~2023
-0.55(-0.56~-0.53)***",2010~2023,-0.55 (-0.56~-0.53),Prevalence,Rate
Iran (Islamic Republic of),2,Full Range,2010,2023,-0.67,-0.71,-0.63,1,-30.819,0,***,"2010~2023
-0.67(-0.71~-0.63)***",2010~2023,-0.67 (-0.71~-0.63),Prevalence,Rate
Iraq,1,Full Range,2010,2023,-2.91,-2.95,-2.86,1,-123.459,0,***,"2010~2023
-2.91(-2.95~-2.86)***",2010~2023,-2.91 (-2.95~-2.86),Prevalence,Rate
Ireland,1,Full Range,2010,2023,-2.37,-2.41,-2.34,1,-131.817,0,***,"2010~2023
-2.37(-2.41~-2.34)***",2010~2023,-2.37 (-2.41~-2.34),Prevalence,Rate
Israel,1,Full Range,2010,2023,-2.25,-2.31,-2.18,1,-64.591,0,***,"2010~2023
-2.25(-2.31~-2.18)***",2010~2023,-2.25 (-2.31~-2.18),Prevalence,Rate
Italy,0,Full Range,2010,2023,-0.92,-1.1,-0.75,1,-11.415,0,***,"2010~2023
-0.92(-1.10~-0.75)***",2010~2023,-0.92 (-1.10~-0.75),Prevalence,Rate
Jamaica,2,Full Range,2010,2023,-1.87,-1.92,-1.82,1,-71.437,0,***,"2010~2023
-1.87(-1.92~-1.82)***",2010~2023,-1.87 (-1.92~-1.82),Prevalence,Rate
Japan,1,Full Range,2010,2023,-2.3,-2.37,-2.23,1,-63.881,0,***,"2010~2023
-2.30(-2.37~-2.23)***",2010~2023,-2.30 (-2.37~-2.23),Prevalence,Rate
Jordan,3,Full Range,2010,2023,-2.54,-2.58,-2.51,1,-134.117,0,***,"2010~2023
-2.54(-2.58~-2.51)***",2010~2023,-2.54 (-2.58~-2.51),Prevalence,Rate
Kazakhstan,2,Full Range,2010,2023,-3.27,-3.5,-3.03,1,-26.854,0,***,"2010~2023
-3.27(-3.50~-3.03)***",2010~2023,-3.27 (-3.50~-3.03),Prevalence,Rate
Kenya,1,Full Range,2010,2023,-0.47,-0.48,-0.45,1,-64.02,0,***,"2010~2023
-0.47(-0.48~-0.45)***",2010~2023,-0.47 (-0.48~-0.45),Prevalence,Rate
Kiribati,1,Full Range,2010,2023,-0.42,-0.45,-0.4,1,-30.23,0,***,"2010~2023
-0.42(-0.45~-0.40)***",2010~2023,-0.42 (-0.45~-0.40),Prevalence,Rate
Kuwait,1,Full Range,2010,2023,-2.31,-2.37,-2.25,1,-76.134,0,***,"2010~2023
-2.31(-2.37~-2.25)***",2010~2023,-2.31 (-2.37~-2.25),Prevalence,Rate
Kyrgyzstan,1,Full Range,2010,2023,-2.79,-2.88,-2.7,1,-61.106,0,***,"2010~2023
-2.79(-2.88~-2.70)***",2010~2023,-2.79 (-2.88~-2.70),Prevalence,Rate
Lao People's Democratic Republic,0,Full Range,2010,2023,-2.15,-2.19,-2.12,1,-130.182,0,***,"2010~2023
-2.15(-2.19~-2.12)***",2010~2023,-2.15 (-2.19~-2.12),Prevalence,Rate
Latvia,2,Full Range,2010,2023,-2.72,-2.83,-2.61,1,-49.662,0,***,"2010~2023
-2.72(-2.83~-2.61)***",2010~2023,-2.72 (-2.83~-2.61),Prevalence,Rate
Lebanon,2,Full Range,2010,2023,-2.3,-2.32,-2.27,1,-180.297,0,***,"2010~2023
-2.30(-2.32~-2.27)***",2010~2023,-2.30 (-2.32~-2.27),Prevalence,Rate
Lesotho,3,Full Range,2010,2023,-2.24,-2.49,-1.99,1,-17.469,0,***,"2010~2023
-2.24(-2.49~-1.99)***",2010~2023,-2.24 (-2.49~-1.99),Prevalence,Rate
Liberia,2,Full Range,2010,2023,-3.44,-3.52,-3.35,1,-77.553,0,***,"2010~2023
-3.44(-3.52~-3.35)***",2010~2023,-3.44 (-3.52~-3.35),Prevalence,Rate
Libya,1,Full Range,2010,2023,-1,-1.21,-0.79,1,-9.146,0,***,"2010~2023
-1.00(-1.21~-0.79)***",2010~2023,-1.00 (-1.21~-0.79),Prevalence,Rate
Lithuania,2,Full Range,2010,2023,-2.6,-2.69,-2.51,1,-55.581,0,***,"2010~2023
-2.60(-2.69~-2.51)***",2010~2023,-2.60 (-2.69~-2.51),Prevalence,Rate
Luxembourg,2,Full Range,2010,2023,-2.14,-2.17,-2.11,1,-124.677,0,***,"2010~2023
-2.14(-2.17~-2.11)***",2010~2023,-2.14 (-2.17~-2.11),Prevalence,Rate
Madagascar,3,Full Range,2010,2023,-2.13,-2.22,-2.04,1,-44.184,0,***,"2010~2023
-2.13(-2.22~-2.04)***",2010~2023,-2.13 (-2.22~-2.04),Prevalence,Rate
Malawi,3,Full Range,2010,2023,-2.95,-2.97,-2.92,1,-233.95,0,***,"2010~2023
-2.95(-2.97~-2.92)***",2010~2023,-2.95 (-2.97~-2.92),Prevalence,Rate
Malaysia,1,Full Range,2010,2023,-0.75,-0.77,-0.74,1,-111.836,0,***,"2010~2023
-0.75(-0.77~-0.74)***",2010~2023,-0.75 (-0.77~-0.74),Prevalence,Rate
Maldives,2,Full Range,2010,2023,-0.72,-0.76,-0.68,1,-35.161,0,***,"2010~2023
-0.72(-0.76~-0.68)***",2010~2023,-0.72 (-0.76~-0.68),Prevalence,Rate
Mali,3,Full Range,2010,2023,-3.2,-3.25,-3.16,1,-144.473,0,***,"2010~2023
-3.20(-3.25~-3.16)***",2010~2023,-3.20 (-3.25~-3.16),Prevalence,Rate
Malta,1,Full Range,2010,2023,-2.4,-2.44,-2.37,1,-119.435,0,***,"2010~2023
-2.40(-2.44~-2.37)***",2010~2023,-2.40 (-2.44~-2.37),Prevalence,Rate
Marshall Islands,3,Full Range,2010,2023,-0.62,-0.63,-0.6,1,-79.173,0,***,"2010~2023
-0.62(-0.63~-0.60)***",2010~2023,-0.62 (-0.63~-0.60),Prevalence,Rate
Mauritania,2,Full Range,2010,2023,-4.2,-4.27,-4.13,1,-111.737,0,***,"2010~2023
-4.20(-4.27~-4.13)***",2010~2023,-4.20 (-4.27~-4.13),Prevalence,Rate
Mauritius,3,Full Range,2010,2023,-0.61,-0.62,-0.59,1,-80.176,0,***,"2010~2023
-0.61(-0.62~-0.59)***",2010~2023,-0.61 (-0.62~-0.59),Prevalence,Rate
Mexico,1,Full Range,2010,2023,-2.22,-2.31,-2.13,1,-45.843,0,***,"2010~2023
-2.22(-2.31~-2.13)***",2010~2023,-2.22 (-2.31~-2.13),Prevalence,Rate
Micronesia (Federated States of),2,Full Range,2010,2023,-0.62,-0.65,-0.59,1,-47.627,0,***,"2010~2023
-0.62(-0.65~-0.59)***",2010~2023,-0.62 (-0.65~-0.59),Prevalence,Rate
Monaco,1,Full Range,2010,2023,-2.02,-2.04,-2,1,-181.167,0,***,"2010~2023
-2.02(-2.04~-2.00)***",2010~2023,-2.02 (-2.04~-2.00),Prevalence,Rate
Mongolia,2,Full Range,2010,2023,-2.61,-2.72,-2.5,1,-45.916,0,***,"2010~2023
-2.61(-2.72~-2.50)***",2010~2023,-2.61 (-2.72~-2.50),Prevalence,Rate
Montenegro,1,Full Range,2010,2023,-2.56,-2.64,-2.48,1,-61.759,0,***,"2010~2023
-2.56(-2.64~-2.48)***",2010~2023,-2.56 (-2.64~-2.48),Prevalence,Rate
Morocco,3,Full Range,2010,2023,-2.7,-2.73,-2.66,1,-137.388,0,***,"2010~2023
-2.70(-2.73~-2.66)***",2010~2023,-2.70 (-2.73~-2.66),Prevalence,Rate
Mozambique,3,Full Range,2010,2023,-2.14,-2.17,-2.1,1,-106.127,0,***,"2010~2023
-2.14(-2.17~-2.10)***",2010~2023,-2.14 (-2.17~-2.10),Prevalence,Rate
Myanmar,1,Full Range,2010,2023,-0.91,-0.93,-0.89,1,-102.305,0,***,"2010~2023
-0.91(-0.93~-0.89)***",2010~2023,-0.91 (-0.93~-0.89),Prevalence,Rate
Namibia,1,Full Range,2010,2023,-2.97,-3.06,-2.88,1,-64.676,0,***,"2010~2023
-2.97(-3.06~-2.88)***",2010~2023,-2.97 (-3.06~-2.88),Prevalence,Rate
Nauru,2,Full Range,2010,2023,-1.09,-1.12,-1.05,1,-65.774,0,***,"2010~2023
-1.09(-1.12~-1.05)***",2010~2023,-1.09 (-1.12~-1.05),Prevalence,Rate
Nepal,1,Full Range,2010,2023,-2.6,-2.69,-2.51,1,-53.567,0,***,"2010~2023
-2.60(-2.69~-2.51)***",2010~2023,-2.60 (-2.69~-2.51),Prevalence,Rate
Netherlands,3,Full Range,2010,2023,-2.08,-2.11,-2.05,1,-137.666,0,***,"2010~2023
-2.08(-2.11~-2.05)***",2010~2023,-2.08 (-2.11~-2.05),Prevalence,Rate
New Zealand,1,Full Range,2010,2023,-1.71,-1.77,-1.65,1,-55.171,0,***,"2010~2023
-1.71(-1.77~-1.65)***",2010~2023,-1.71 (-1.77~-1.65),Prevalence,Rate
Nicaragua,2,Full Range,2010,2023,-2.61,-2.66,-2.56,1,-99.902,0,***,"2010~2023
-2.61(-2.66~-2.56)***",2010~2023,-2.61 (-2.66~-2.56),Prevalence,Rate
Niger,3,Full Range,2010,2023,-2.85,-2.88,-2.81,1,-174.155,0,***,"2010~2023
-2.85(-2.88~-2.81)***",2010~2023,-2.85 (-2.88~-2.81),Prevalence,Rate
Nigeria,2,Full Range,2010,2023,-3.5,-3.54,-3.46,1,-158.243,0,***,"2010~2023
-3.50(-3.54~-3.46)***",2010~2023,-3.50 (-3.54~-3.46),Prevalence,Rate
Niue,2,Full Range,2010,2023,-0.74,-0.77,-0.71,1,-46.094,0,***,"2010~2023
-0.74(-0.77~-0.71)***",2010~2023,-0.74 (-0.77~-0.71),Prevalence,Rate
North Macedonia,1,Full Range,2010,2023,-2.21,-2.27,-2.14,1,-64.635,0,***,"2010~2023
-2.21(-2.27~-2.14)***",2010~2023,-2.21 (-2.27~-2.14),Prevalence,Rate
Northern Mariana Islands,2,Full Range,2010,2023,-0.53,-0.6,-0.46,1,-14.167,0,***,"2010~2023
-0.53(-0.60~-0.46)***",2010~2023,-0.53 (-0.60~-0.46),Prevalence,Rate
Norway,3,Full Range,2010,2023,-2.04,-2.08,-1.99,1,-96.782,0,***,"2010~2023
-2.04(-2.08~-1.99)***",2010~2023,-2.04 (-2.08~-1.99),Prevalence,Rate
Oman,1,Full Range,2010,2023,-2.86,-2.92,-2.81,1,-96.126,0,***,"2010~2023
-2.86(-2.92~-2.81)***",2010~2023,-2.86 (-2.92~-2.81),Prevalence,Rate
Pakistan,2,Full Range,2010,2023,-2.87,-2.89,-2.85,1,-279.232,0,***,"2010~2023
-2.87(-2.89~-2.85)***",2010~2023,-2.87 (-2.89~-2.85),Prevalence,Rate
