location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,max_joinpoints_setting,selected_joinpoints
Nepal,1,Full Range,2010,2023,-2.6,-2.69,-2.51,1,-53.567,0,***,"2010~2023
-2.60(-2.69~-2.51)***",2010~2023,-2.60 (-2.69~-2.51),3,1
Netherlands,3,Full Range,2010,2023,-2.08,-2.11,-2.05,1,-137.666,0,***,"2010~2023
-2.08(-2.11~-2.05)***",2010~2023,-2.08 (-2.11~-2.05),3,3
New Zealand,1,Full Range,2010,2023,-1.71,-1.77,-1.65,1,-55.171,0,***,"2010~2023
-1.71(-1.77~-1.65)***",2010~2023,-1.71 (-1.77~-1.65),3,1
Nicaragua,2,Full Range,2010,2023,-2.61,-2.66,-2.56,1,-99.902,0,***,"2010~2023
-2.61(-2.66~-2.56)***",2010~2023,-2.61 (-2.66~-2.56),3,2
Niger,3,Full Range,2010,2023,-2.85,-2.88,-2.81,1,-174.155,0,***,"2010~2023
-2.85(-2.88~-2.81)***",2010~2023,-2.85 (-2.88~-2.81),3,3
Nigeria,2,Full Range,2010,2023,-3.5,-3.54,-3.46,1,-158.243,0,***,"2010~2023
-3.50(-3.54~-3.46)***",2010~2023,-3.50 (-3.54~-3.46),3,2
Niue,2,Full Range,2010,2023,-0.74,-0.77,-0.71,1,-46.094,0,***,"2010~2023
-0.74(-0.77~-0.71)***",2010~2023,-0.74 (-0.77~-0.71),3,2
North Macedonia,1,Full Range,2010,2023,-2.21,-2.27,-2.14,1,-64.635,0,***,"2010~2023
-2.21(-2.27~-2.14)***",2010~2023,-2.21 (-2.27~-2.14),3,1
Northern Mariana Islands,2,Full Range,2010,2023,-0.53,-0.6,-0.46,1,-14.167,0,***,"2010~2023
-0.53(-0.60~-0.46)***",2010~2023,-0.53 (-0.60~-0.46),3,2
Norway,3,Full Range,2010,2023,-2.04,-2.08,-1.99,1,-96.782,0,***,"2010~2023
-2.04(-2.08~-1.99)***",2010~2023,-2.04 (-2.08~-1.99),3,3
Oman,1,Full Range,2010,2023,-2.86,-2.92,-2.81,1,-96.126,0,***,"2010~2023
-2.86(-2.92~-2.81)***",2010~2023,-2.86 (-2.92~-2.81),3,1
Pakistan,2,Full Range,2010,2023,-2.87,-2.89,-2.85,1,-279.232,0,***,"2010~2023
-2.87(-2.89~-2.85)***",2010~2023,-2.87 (-2.89~-2.85),3,2
Palau,2,Full Range,2010,2023,-0.58,-0.61,-0.54,1,-31.717,0,***,"2010~2023
-0.58(-0.61~-0.54)***",2010~2023,-0.58 (-0.61~-0.54),3,2
Palestine,1,Full Range,2010,2023,-2.7,-2.74,-2.66,1,-135.282,0,***,"2010~2023
-2.70(-2.74~-2.66)***",2010~2023,-2.70 (-2.74~-2.66),3,1
Panama,1,Full Range,2010,2023,-2.83,-2.96,-2.71,1,-44.328,0,***,"2010~2023
-2.83(-2.96~-2.71)***",2010~2023,-2.83 (-2.96~-2.71),3,1
Papua New Guinea,1,Full Range,2010,2023,-0.47,-0.5,-0.44,1,-29.378,0,***,"2010~2023
-0.47(-0.50~-0.44)***",2010~2023,-0.47 (-0.50~-0.44),3,1
Paraguay,3,Full Range,2010,2023,-2.53,-2.54,-2.53,1,-799.487,0,***,"2010~2023
-2.53(-2.54~-2.53)***",2010~2023,-2.53 (-2.54~-2.53),3,3
Peru,1,Full Range,2010,2023,-3.19,-3.28,-3.1,1,-69.877,0,***,"2010~2023
-3.19(-3.28~-3.10)***",2010~2023,-3.19 (-3.28~-3.10),3,1
Philippines,2,Full Range,2010,2023,-0.01,-0.01,-0,1,-2.367,0.018,*,"2010~2023
-0.01(-0.01~-0.00)*",2010~2023,-0.01 (-0.01~-0.00),3,2
Poland,1,Full Range,2010,2023,-2.6,-2.65,-2.54,1,-85.738,0,***,"2010~2023
-2.60(-2.65~-2.54)***",2010~2023,-2.60 (-2.65~-2.54),3,1
Portugal,1,Full Range,2010,2023,-2.42,-2.48,-2.36,1,-76.589,0,***,"2010~2023
-2.42(-2.48~-2.36)***",2010~2023,-2.42 (-2.48~-2.36),3,1
Puerto Rico,2,Full Range,2010,2023,-2.33,-2.37,-2.29,1,-108.492,0,***,"2010~2023
-2.33(-2.37~-2.29)***",2010~2023,-2.33 (-2.37~-2.29),3,2
Qatar,2,Full Range,2010,2023,-3.06,-3.25,-2.87,1,-31.11,0,***,"2010~2023
-3.06(-3.25~-2.87)***",2010~2023,-3.06 (-3.25~-2.87),3,2
Republic of Korea,1,Full Range,2010,2023,-2.69,-2.8,-2.59,1,-49.26,0,***,"2010~2023
-2.69(-2.80~-2.59)***",2010~2023,-2.69 (-2.80~-2.59),3,1
Republic of Moldova,1,Full Range,2010,2023,-3.19,-3.25,-3.13,1,-109.085,0,***,"2010~2023
-3.19(-3.25~-3.13)***",2010~2023,-3.19 (-3.25~-3.13),3,1
Romania,1,Full Range,2010,2023,-2.62,-2.71,-2.54,1,-62.492,0,***,"2010~2023
-2.62(-2.71~-2.54)***",2010~2023,-2.62 (-2.71~-2.54),3,1
Russian Federation,2,Full Range,2010,2023,-2.95,-3.03,-2.88,1,-80.153,0,***,"2010~2023
-2.95(-3.03~-2.88)***",2010~2023,-2.95 (-3.03~-2.88),3,2
Rwanda,1,Full Range,2010,2023,-2.6,-2.63,-2.57,1,-180.248,0,***,"2010~2023
-2.60(-2.63~-2.57)***",2010~2023,-2.60 (-2.63~-2.57),3,1
Saint Kitts and Nevis,2,Full Range,2010,2023,-2.05,-2.11,-2,1,-73.257,0,***,"2010~2023
-2.05(-2.11~-2.00)***",2010~2023,-2.05 (-2.11~-2.00),3,2
Saint Lucia,2,Full Range,2010,2023,-2,-2.05,-1.96,1,-82.789,0,***,"2010~2023
-2.00(-2.05~-1.96)***",2010~2023,-2.00 (-2.05~-1.96),3,2
Saint Vincent and the Grenadines,2,Full Range,2010,2023,-2.09,-2.13,-2.04,1,-90.296,0,***,"2010~2023
-2.09(-2.13~-2.04)***",2010~2023,-2.09 (-2.13~-2.04),3,2
Samoa,2,Full Range,2010,2023,-0.62,-0.7,-0.54,1,-15.253,0,***,"2010~2023
-0.62(-0.70~-0.54)***",2010~2023,-0.62 (-0.70~-0.54),3,2
San Marino,0,Full Range,2010,2023,-1.82,-1.84,-1.79,1,-157.694,0,***,"2010~2023
-1.82(-1.84~-1.79)***",2010~2023,-1.82 (-1.84~-1.79),3,0
Sao Tome and Principe,3,Full Range,2010,2023,-4.01,-4.08,-3.94,1,-106.232,0,***,"2010~2023
-4.01(-4.08~-3.94)***",2010~2023,-4.01 (-4.08~-3.94),3,3
Saudi Arabia,2,Full Range,2010,2023,-3.25,-3.38,-3.12,1,-47.294,0,***,"2010~2023
-3.25(-3.38~-3.12)***",2010~2023,-3.25 (-3.38~-3.12),3,2
Senegal,3,Full Range,2010,2023,-3.42,-3.47,-3.37,1,-137.727,0,***,"2010~2023
-3.42(-3.47~-3.37)***",2010~2023,-3.42 (-3.47~-3.37),3,3
Serbia,1,Full Range,2010,2023,-2.69,-2.77,-2.62,1,-69.266,0,***,"2010~2023
-2.69(-2.77~-2.62)***",2010~2023,-2.69 (-2.77~-2.62),3,1
Seychelles,2,Full Range,2010,2023,-0.5,-0.52,-0.49,1,-60.028,0,***,"2010~2023
-0.50(-0.52~-0.49)***",2010~2023,-0.50 (-0.52~-0.49),3,2
Sierra Leone,2,Full Range,2010,2023,-3.57,-3.61,-3.52,1,-159.874,0,***,"2010~2023
-3.57(-3.61~-3.52)***",2010~2023,-3.57 (-3.61~-3.52),3,2
Singapore,2,Full Range,2010,2023,-2.67,-2.79,-2.56,1,-45.748,0,***,"2010~2023
-2.67(-2.79~-2.56)***",2010~2023,-2.67 (-2.79~-2.56),3,2
Slovakia,2,Full Range,2010,2023,-2.51,-2.58,-2.44,1,-67.157,0,***,"2010~2023
-2.51(-2.58~-2.44)***",2010~2023,-2.51 (-2.58~-2.44),3,2
Slovenia,1,Full Range,2010,2023,-2.5,-2.6,-2.4,1,-48.763,0,***,"2010~2023
-2.50(-2.60~-2.40)***",2010~2023,-2.50 (-2.60~-2.40),3,1
Solomon Islands,3,Full Range,2010,2023,-0.56,-0.58,-0.54,1,-53.981,0,***,"2010~2023
-0.56(-0.58~-0.54)***",2010~2023,-0.56 (-0.58~-0.54),3,3
Somalia,2,Full Range,2010,2023,-2.34,-2.49,-2.18,1,-29.256,0,***,"2010~2023
-2.34(-2.49~-2.18)***",2010~2023,-2.34 (-2.49~-2.18),3,2
South Africa,2,Full Range,2010,2023,-0.26,-0.27,-0.24,1,-30.633,0,***,"2010~2023
-0.26(-0.27~-0.24)***",2010~2023,-0.26 (-0.27~-0.24),3,2
South Sudan,2,Full Range,2010,2023,-2,-2.02,-1.97,1,-142.512,0,***,"2010~2023
-2.00(-2.02~-1.97)***",2010~2023,-2.00 (-2.02~-1.97),3,2
Spain,0,Full Range,2010,2023,-2.55,-2.58,-2.52,1,-201.931,0,***,"2010~2023
-2.55(-2.58~-2.52)***",2010~2023,-2.55 (-2.58~-2.52),3,0
Sri Lanka,2,Full Range,2010,2023,0.18,0.13,0.23,1,7.184,0,***,"2010~2023
0.18(0.13~0.23)***",2010~2023,0.18 (0.13~0.23),3,2
Sudan,1,Full Range,2010,2023,-2.63,-2.67,-2.59,1,-128.192,0,***,"2010~2023
-2.63(-2.67~-2.59)***",2010~2023,-2.63 (-2.67~-2.59),3,1
Suriname,1,Full Range,2010,2023,-2.13,-2.17,-2.1,1,-117.482,0,***,"2010~2023
-2.13(-2.17~-2.10)***",2010~2023,-2.13 (-2.17~-2.10),3,1
Sweden,0,Full Range,2010,2023,-2.41,-2.46,-2.37,1,-119.285,0,***,"2010~2023
-2.41(-2.46~-2.37)***",2010~2023,-2.41 (-2.46~-2.37),3,0
Switzerland,1,Full Range,2010,2023,-1.87,-1.89,-1.84,1,-137.711,0,***,"2010~2023
-1.87(-1.89~-1.84)***",2010~2023,-1.87 (-1.89~-1.84),3,1
Syrian Arab Republic,1,Full Range,2010,2023,-2.05,-2.1,-2,1,-75.826,0,***,"2010~2023
-2.05(-2.10~-2.00)***",2010~2023,-2.05 (-2.10~-2.00),3,1
Taiwan,3,Full Range,2010,2023,-1.58,-1.61,-1.54,1,-81.261,0,***,"2010~2023
-1.58(-1.61~-1.54)***",2010~2023,-1.58 (-1.61~-1.54),3,3
Tajikistan,2,Full Range,2010,2023,-2.17,-2.25,-2.08,1,-51.708,0,***,"2010~2023
-2.17(-2.25~-2.08)***",2010~2023,-2.17 (-2.25~-2.08),3,2
Thailand,1,Full Range,2010,2023,-0.91,-0.93,-0.9,1,-113.626,0,***,"2010~2023
-0.91(-0.93~-0.90)***",2010~2023,-0.91 (-0.93~-0.90),3,1
Timor-Leste,1,Full Range,2010,2023,-0.27,-0.29,-0.26,1,-32.5,0,***,"2010~2023
-0.27(-0.29~-0.26)***",2010~2023,-0.27 (-0.29~-0.26),3,1
Togo,3,Full Range,2010,2023,-3.68,-3.73,-3.63,1,-133.022,0,***,"2010~2023
-3.68(-3.73~-3.63)***",2010~2023,-3.68 (-3.73~-3.63),3,3
Tokelau,3,Full Range,2010,2023,-1.04,-1.05,-1.02,1,-137.928,0,***,"2010~2023
-1.04(-1.05~-1.02)***",2010~2023,-1.04 (-1.05~-1.02),3,3
Tonga,3,Full Range,2010,2023,-0.78,-0.83,-0.73,1,-30.53,0,***,"2010~2023
-0.78(-0.83~-0.73)***",2010~2023,-0.78 (-0.83~-0.73),3,3
Trinidad and Tobago,2,Full Range,2010,2023,-2.29,-2.32,-2.26,1,-154.341,0,***,"2010~2023
-2.29(-2.32~-2.26)***",2010~2023,-2.29 (-2.32~-2.26),3,2
Tunisia,1,Full Range,2010,2023,-2.48,-2.5,-2.45,1,-203.071,0,***,"2010~2023
-2.48(-2.50~-2.45)***",2010~2023,-2.48 (-2.50~-2.45),3,1
Turkmenistan,2,Full Range,2010,2023,-2.49,-2.58,-2.41,1,-56.417,0,***,"2010~2023
-2.49(-2.58~-2.41)***",2010~2023,-2.49 (-2.58~-2.41),3,2
Tuvalu,3,Full Range,2010,2023,-0.74,-0.78,-0.7,1,-32.356,0,***,"2010~2023
-0.74(-0.78~-0.70)***",2010~2023,-0.74 (-0.78~-0.70),3,3
Türkiye,1,Full Range,2010,2023,-2.78,-2.92,-2.64,1,-39.184,0,***,"2010~2023
-2.78(-2.92~-2.64)***",2010~2023,-2.78 (-2.92~-2.64),3,1
Uganda,3,Full Range,2010,2023,-1.66,-1.68,-1.65,1,-195.613,0,***,"2010~2023
-1.66(-1.68~-1.65)***",2010~2023,-1.66 (-1.68~-1.65),3,3
Ukraine,3,Full Range,2010,2023,-1.85,-1.92,-1.79,1,-58.26,0,***,"2010~2023
-1.85(-1.92~-1.79)***",2010~2023,-1.85 (-1.92~-1.79),3,3
United Arab Emirates,3,Full Range,2010,2023,-2.44,-2.48,-2.4,1,-126.738,0,***,"2010~2023
-2.44(-2.48~-2.40)***",2010~2023,-2.44 (-2.48~-2.40),3,3
United Kingdom,2,Full Range,2010,2023,-2.05,-2.09,-2,1,-84.578,0,***,"2010~2023
-2.05(-2.09~-2.00)***",2010~2023,-2.05 (-2.09~-2.00),3,2
United Republic of Tanzania,2,Full Range,2010,2023,-3.3,-3.33,-3.27,1,-200.47,0,***,"2010~2023
-3.30(-3.33~-3.27)***",2010~2023,-3.30 (-3.33~-3.27),3,2
United States Virgin Islands,1,Full Range,2010,2023,-2.15,-2.17,-2.13,1,-193.304,0,***,"2010~2023
-2.15(-2.17~-2.13)***",2010~2023,-2.15 (-2.17~-2.13),3,1
United States of America,2,Full Range,2010,2023,1.1,1.04,1.16,1,35.254,0,***,"2010~2023
1.10(1.04~1.16)***",2010~2023,1.10 (1.04~1.16),3,2
Uruguay,1,Full Range,2010,2023,-1.89,-1.92,-1.87,1,-143.721,0,***,"2010~2023
-1.89(-1.92~-1.87)***",2010~2023,-1.89 (-1.92~-1.87),3,1
Uzbekistan,2,Full Range,2010,2023,-2.47,-2.59,-2.36,1,-41.184,0,***,"2010~2023
-2.47(-2.59~-2.36)***",2010~2023,-2.47 (-2.59~-2.36),3,2
Vanuatu,3,Full Range,2010,2023,-0.47,-0.54,-0.39,1,-11.953,0,***,"2010~2023
-0.47(-0.54~-0.39)***",2010~2023,-0.47 (-0.54~-0.39),3,3
Venezuela (Bolivarian Republic of),1,Full Range,2010,2023,-1.64,-1.7,-1.57,1,-51.532,0,***,"2010~2023
-1.64(-1.70~-1.57)***",2010~2023,-1.64 (-1.70~-1.57),3,1
Viet Nam,2,Full Range,2010,2023,-0.64,-0.65,-0.62,1,-74.401,0,***,"2010~2023
-0.64(-0.65~-0.62)***",2010~2023,-0.64 (-0.65~-0.62),3,2
Yemen,3,Full Range,2010,2023,-1.65,-1.68,-1.62,1,-116.742,0,***,"2010~2023
-1.65(-1.68~-1.62)***",2010~2023,-1.65 (-1.68~-1.62),3,3
Zambia,2,Full Range,2010,2023,-3.14,-3.16,-3.13,1,-437.929,0,***,"2010~2023
-3.14(-3.16~-3.13)***",2010~2023,-3.14 (-3.16~-3.13),3,2
Zimbabwe,2,Full Range,2010,2023,-3.64,-3.83,-3.45,1,-36.595,0,***,"2010~2023
-3.64(-3.83~-3.45)***",2010~2023,-3.64 (-3.83~-3.45),3,2
